Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
Caudate,Dorsolateral prefrontal,228,18573,3384,21957,0.010383932
Anterior cingulate,"(""Posterior nucleus"" AND hypothalamus)",63,6710,2677,9387,0.006711409
Angular gyrus,Infralimbic,0,641,496,1137,0
Cingulum,Visual cortex,29,656,39224,39880,0.000727182
Claustrum,Dorsolateral prefrontal,15,840,3597,4437,0.003380663
Cingulum,Parahippocamp*,0,685,0,685,0
(Dorsomedial AND hypothal*),Suprachiasmatic,0,0,6026,6026,0
Basal forbrain,Cerebellum,1789,1,56883,56884,0.031449968
Basal forbrain,periaqueductal,127,1,4576,4577,0.027747433
Broca's area,Subiculum,91,52332,1789,54121,0.001681418
Basal forbrain,Hypothalam*,0,1,3,4,0
Basal forbrain,Nucleus basalis,1365,1,2330,2331,0.585585586
Dorsolateral prefrontal,Inferior frontal,321,3291,4801,8092,0.039668809
Fusiform,Wernicke's area,668,4787,40233,45020,0.01483785
(Cochlear AND (nuclei OR nucleus)),Superior frontal,8,4419,4947,9366,0.000854153
Fusiform,Orbitofrontal,77,5378,2919,8297,0.009280463
Dentate gyrus,"(""Straight gyrus"" OR ""gyrus rectus"")",0,11957,2,11959,0
Fusiform,Medial frontal,147,5308,5731,11039,0.013316424
Indusium griseum,Medial geniculate,1,76,1861,1937,0.000516262
Hypothalam*,"(""Posterior nucleus"" AND hypothalamus)",0,3,2740,2743,0
Inferior parietal lobule,Prefrontal,237,679,23864,24543,0.009656521
Indusium griseum,Inferior frontal,1,76,5121,5197,0.000192419
Inferior frontal,(Periventricular AND (nuclei OR nucleus)),2,5120,1072,6192,0.000322997
"(""Locus coeruleus"" OR ""locus ceruleus"")",Operculum,0,3308,926,4234,0
Medial geniculate,Subthalam*,0,1862,0,1862,0
Lateral geniculate,Nucleus accumbens,58,5777,12749,18526,0.003130735
Nucleus accumbens,periaqueductal,225,12582,4351,16933,0.013287663
Parahippocamp*,Primary sensory,0,0,11606,11606,0
Pineal,Stria terminalis,27,14376,2708,17084,0.001580426
Posterior parietal,Temporoparietal,120,5594,1340,6934,0.017306028
Primary sensory,Visual extrastriate,45,11561,1489,13050,0.003448276
Pontine nuclei,Primary sensory,103,7605,11503,19108,0.005390412
(Septal AND (nuclei OR nucleus)),Superior frontal,13,2400,4942,7342,0.001770635
Pulvinar,Ventromedial prefrontal,8,1125,756,1881,0.004253057
Subiculum,Thalamic reticular,38,1842,3673,5515,0.006890299
Caudate,Paracentral lobule,7,18794,60,18854,0.000371274
Ambiguus,Substantia nigra,33,1183,19356,20539,0.001606699
Ambiguus,Thalamic reticular,26,1190,3685,4875,0.005333333
Ambiguus,Primary auditory,0,1216,5386,6602,0
Amygdala,Claustrum,226,23131,629,23760,0.009511785
Anterior cingulate,"(""Locus coeruleus"" OR ""locus ceruleus"")",23,6750,3285,10035,0.002291978
Anterior cingulate,Cingulate,6773,0,4331,4331,1.563842069
Cingulum,Primary motor,14,671,14725,15396,0.000909327
Cingulum,"(""Mammillary body"" OR ""Mammillary bodies)",2,683,2,685,0.002919708
(Dorsomedial AND hypothal*),Posterior cingulate,0,0,2925,2925,0
(Dorsomedial AND hypothal*),Substantia nigra,0,0,19389,19389,0
Broca's area,Insula*,778,51645,2332,53977,0.014413547
Basal forbrain,Visual extrastriate,21,1,1534,1535,0.013680782
Basal forbrain,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",7,1,143,144,0.048611111
"(""Centromedian"" AND (nuclei OR nucleus))",Superior frontal,6,137,4949,5086,0.001179709
Fusiform,Putamen,50,5405,10699,16104,0.003104819
Hippocamp*,Ventromedial prefrontal,0,184,764,948,0
Inferior parietal lobule,Temporoparietal,19,897,1441,2338,0.008126604
Insula*,Posterior cingulate,441,2669,2484,5153,0.085581215
Inferior frontal,Pulvinar,36,5086,1097,6183,0.005822416
"(""Inferior olive"" OR ""Inferior olivary"")","(""Nucleus gracilis"" OR ""gracile nucleus"")",0,834,6,840,0
Middle frontal,(Superior AND collicul*),2138,18334,170189,188523,0.011340791
Lateral geniculate,(Raphe AND (nuclei OR nucleus)),125,5710,4260,9970,0.012537613
Orbitofrontal,Visual cortex,453,2543,38800,41343,0.010957115
Olfactory bulb,Superior frontal,27,11242,4928,16170,0.001669759
Parahippocamp*,Premotor,0,0,4729,4729,0
Nucleus basalis,Premotor,12,2318,4717,7035,0.001705757
Posterior parahippocampal gyrus,Premotor,13,476,4716,5192,0.002503852
Posterior parietal,Superior temporal,767,4947,8194,13141,0.058366943
Primary motor,Striatum,320,14419,44428,58847,0.00543783
Primary auditory,Thalamic reticular,41,5345,3670,9015,0.004547976
Stria terminalis,Striatum,187,2548,44561,47109,0.003969518
(Raphe AND (nuclei OR nucleus)),"(""Ventral posteromedial"" AND (nuclei OR nucleus))",14,4371,129,4500,0.003111111
Calcarine fissure,"(""Red nucleus"")",0,120,4498,4618,0
Calcarine fissure,"(""Inferior olive"" OR ""Inferior olivary"")",0,120,834,954,0
Calcarine fissure,Stria terminalis,0,120,2735,2855,0
Prefrontal,Primary motor,554,23547,14185,37732,0.014682498
Ambiguus,Lingual gyrus,0,1216,433,1649,0
Cingulum,Middle temporal,61,624,37362,37986,0.001605855
Claustrum,Premotor,25,830,4704,5534,0.004517528
Dorsolateral prefrontal,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",2,3610,141,3751,0.000533191
(Dorsomedial AND hypothal*),Lateral geniculate,0,0,5835,5835,0
Entorhinal,Hippocamp*,2,5545,182,5727,0.000349223
Dorsolateral prefrontal,Posterior parietal,329,3283,5385,8668,0.037955699
Broca's area,(Superior AND collicul*),2851,49572,169476,219048,0.013015412
Broca's area,Visual cortex,5117,47306,34136,81442,0.062829989
Caudate,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",1,18800,7,18807,5.32E-05
"(""Centromedian"" AND (nuclei OR nucleus))",Lateral geniculate,6,137,5829,5966,0.001005699
Cingulate,Putamen,680,10424,10069,20493,0.033182062
"(""Centromedian"" AND (nuclei OR nucleus))",Olfactory bulb,1,142,11268,11410,8.76E-05
(Cochlear AND (nuclei OR nucleus)),Medial geniculate,144,4283,1718,6001,0.023996001
(Cochlear AND (nuclei OR nucleus)),Ventromedial prefrontal,1,4426,763,5189,0.000192715
Diagonal band of Broca,Infralimbic,7,901,489,1390,0.005035971
"(""Gustatory cortex"" OR ""gustatory area"")","(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,69,143,212,0
Indusium griseum,"(""Superior olive"" OR ""superior olivary"")",1,76,513,589,0.001697793
Inferior parietal lobule,Striatum,15,901,44733,45634,0.000328702
Inferior temporal,Piriform cortex,11,6604,2059,8663,0.001269768
"(""Inferior olive"" OR ""Inferior olivary"")",Substantia nigra,46,788,19343,20131,0.002285033
Inferior frontal,Perirhinal,21,5101,1179,6280,0.003343949
Lingual gyrus,Paracentral lobule,4,429,63,492,0.008130081
"(""Medial dorsal"" AND nucl*)",Primary motor,0,1,14739,14740,0
Medial frontal,Zona incerta,42,5836,2878,8714,0.00481983
Middle frontal,Nucleus basalis,54,20418,2276,22694,0.002379484
Olfactory bulb,Subiculum,75,11194,1805,12999,0.005769675
Paracentral lobule,"(""Superior olive"" OR ""superior olivary"")",0,67,514,581,0
"(Medulla OR ""medulla oblongata"")","(""Straight gyrus"" OR ""gyrus rectus"")",0,22565,2,22567,0
periaqueductal,Subiculum,33,4543,1847,6390,0.005164319
Precuneus,Primary auditory,10,1210,5376,6586,0.001518372
Perirhinal,Subgranular,0,1200,632,1832,0
Pulvinar,Superior temporal,90,1043,8871,9914,0.009078071
"(""Ventral anterior"" AND (nuclei OR nucleus))",Ventral tegmentum,185,1273,4641,5914,0.031281704
Premotor,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",2,4727,141,4868,0.000410846
"(""Ventral anterior"" AND (nuclei OR nucleus))",Thalamus,572,886,31968,32854,0.017410361
(Septal AND (nuclei OR nucleus)),Suprachiasmatic,98,2315,5928,8243,0.011888875
Prefrontal,"(""Superior olive"" OR ""superior olivary"")",0,24101,514,24615,0
Subthalam*,Suprachiasmatic,0,0,6026,6026,0
"(""Centromedian"" AND (nuclei OR nucleus))","(""Heschl's gyrus"" OR ""Transverse temporal"")",0,143,6,149,0
Ambiguus,(Intralaminar AND (nuclei OR nucleus)),5,1211,771,1982,0.002522704
Anterior cingulate,Hippocamp*,0,6773,184,6957,0
Cingulum,Interstitial nucleus,0,685,2039,2724,0
Amygdala,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",22,23335,121,23456,0.000937926
Entorhinal,Subiculum,576,4971,1304,6275,0.091792829
Fusiform,Indusium griseum,1,5454,76,5530,0.000180832
Calcarine fissure,Indusium griseum,0,120,77,197,0
Dorsolateral prefrontal,"(""Gustatory cortex"" OR ""gustatory area"")",0,3612,69,3681,0
Diagonal band of Broca,Thalamus,89,819,32451,33270,0.002675083
Hippocamp*,Posterior cingulate,0,184,2925,3109,0
Indusium griseum,Subiculum,9,68,1871,1939,0.004641568
Lingual gyrus,Ventromedial prefrontal,6,427,758,1185,0.005063291
Inferior frontal,Posterior cingulate,400,4722,2525,7247,0.055195253
"(""Medial dorsal"" AND nucl*)",Middle temporal,0,1,37423,37424,0
(Intralaminar AND (nuclei OR nucleus)),Pons,39,737,17514,18251,0.002136869
(Intralaminar AND (nuclei OR nucleus)),(Superior AND collicul*),102,674,172225,172899,0.00058994
"(""Mammillary body"" OR ""Mammillary bodies)","(""Locus coeruleus"" OR ""locus ceruleus"")",0,0,3305,3305,0
Medial geniculate,Thalamus,770,1092,31770,32862,0.023431319
Nucleus accumbens,Stria terminalis,418,12389,2317,14706,0.028423773
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",(Septal AND (nuclei OR nucleus)),0,8,2413,2421,0
Pontine nuclei,"(""Superior olive"" OR ""superior olivary"")",120,7588,394,7982,0.015033826
"(""Ventral posterolateral"" AND (nuclei OR nucleus))",Wernicke's area,2,141,40899,41040,4.87E-05
"(""Red nucleus"")",Subgranular,2,4496,630,5126,0.000390168
Caudate,Hippocamp*,8,18793,176,18969,0.000421741
Angular gyrus,Medial geniculate,0,641,1862,2503,0
Angular gyrus,Interstitial nucleus,0,641,2039,2680,0
Claustrum,Piriform cortex,60,795,2010,2805,0.021390374
Dorsolateral prefrontal,Substantia nigra,44,3568,19345,22913,0.001920307
Basal forbrain,Parahippocamp*,0,1,0,1,0
Calcarine fissure,"(""Medial dorsal"" AND nucl*)",0,120,1,121,0
"(""Centromedian"" AND (nuclei OR nucleus))",Fusiform,1,142,5454,5596,0.000178699
"(""Centromedian"" AND (nuclei OR nucleus))","(""Gustatory cortex"" OR ""gustatory area"")",0,143,69,212,0
"(""Centromedian"" AND (nuclei OR nucleus))",Hypothalam*,0,143,3,146,0
Cerebellum,Middle temporal,1061,55822,36362,92184,0.01150959
"(""Centromedian"" AND (nuclei OR nucleus))","(""Straight gyrus"" OR ""gyrus rectus"")",0,143,2,145,0
Cerebellum,periaqueductal,197,56686,4379,61065,0.003226071
Cingulate,(Periventricular AND (nuclei OR nucleus)),27,11077,1047,12124,0.002226988
Cingulate,Thalamic reticular,98,11006,3613,14619,0.006703605
Dentate gyrus,Indusium griseum,10,11947,67,12014,0.000832362
Hippocamp*,Pulvinar,0,184,1133,1317,0
Hippocamp*,Temporoparietal,0,184,1460,1644,0
Hippocamp*,Operculum,0,184,926,1110,0
"(""Gustatory cortex"" OR ""gustatory area"")",Subthalam*,0,69,0,69,0
Hypothalam*,Temporoparietal,0,3,1460,1463,0
Indusium griseum,"(""Ventral anterior"" AND (nuclei OR nucleus))",3,74,1455,1529,0.001962067
(Inferior AND collicul*),Postcentral gyrus,179,81154,445,81599,0.002193654
Interstitial nucleus,Primary auditory,4,2035,5382,7417,0.000539302
"(""Medial dorsal"" AND nucl*)","(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,1,8,9,0
Medial frontal,Posterior parahippocampal gyrus,70,5808,419,6227,0.011241368
Inferior temporal,Substantia nigra,48,6567,19341,25908,0.00185271
Lingual gyrus,"(""Locus coeruleus"" OR ""locus ceruleus"")",0,433,3308,3741,0
Lateral geniculate,Orbitofrontal,4,5831,2992,8823,0.000453361
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Suprachiasmatic,0,6,6026,6032,0
"(""Mammillary body"" OR ""Mammillary bodies)",Postcentral gyrus,0,0,624,624,0
Pineal,Posterior parahippocampal gyrus,0,14403,489,14892,0
Pineal,Ventral tegmentum,15,14388,4811,19199,0.000781291
Operculum,(Periventricular AND (nuclei OR nucleus)),1,925,1073,1998,0.000500501
Operculum,Posterior parahippocampal gyrus,6,920,483,1403,0.00427655
Perirhinal,Pontine nuclei,25,1175,7683,8858,0.002822308
"(""Posterior nucleus"" AND hypothalamus)",Striatum,131,2609,44617,47226,0.002773896
Primary sensory,Subthalam*,0,11606,0,11606,0
Perirhinal,Postcentral gyrus,1,1199,623,1822,0.000548847
Pontine nuclei,Superior temporal,88,7620,8873,16493,0.005335597
"(""Straight gyrus"" OR ""gyrus rectus"")",Ventral tegmentum,0,2,4826,4828,0
Primary motor,Ventral tegmentum,46,14693,4780,19473,0.002362245
Suprachiasmatic,"(""Ventral anterior"" AND (nuclei OR nucleus))",123,5903,1335,7238,0.016993645
Supplementary motor,Visual extrastriate,13,2761,1521,4282,0.003035965
"(""Red nucleus"")","(""Superior olive"" OR ""superior olivary"")",25,4473,489,4962,0.005038291
"(""Ventral posterior"" AND (nuclei OR nucleus))","(""Ventral posterolateral"" AND (nuclei OR nucleus))",56,1422,87,1509,0.037110669
(Raphe AND (nuclei OR nucleus)),(Superior AND collicul*),484,3901,171843,175744,0.002754006
Caudate,Subgranular,4,18797,628,19425,0.00020592
Ambiguus,Broca's area,7,1209,52416,53625,0.000130536
Anterior cingulate,Primary sensory,150,6623,11456,18079,0.008296919
Angular gyrus,Pontine nuclei,2,639,7706,8345,0.000239664
Anterior cingulate,Basal forbrain,385,6773,1,6774,0.056834957
Cingulum,Posterior parahippocampal gyrus,14,671,475,1146,0.012216405
Anterior cingulate,Middle frontal,982,5791,19490,25281,0.0388434
Infralimbic,Temporoparietal,0,496,1460,1956,0
Dorsolateral prefrontal,Prefrontal,3612,0,20489,20489,0.176289716
Entorhinal,(Inferior AND collicul*),192,5355,81141,86496,0.002219756
(Dorsomedial AND hypothal*),"(""Straight gyrus"" OR ""gyrus rectus"")",0,0,2,2,0
Fusiform,Interstitial nucleus,17,5438,2022,7460,0.00227882
Broca's area,Primary sensory,631,51792,10975,62767,0.010053053
Caudate,"(""Red nucleus"")",222,18579,4276,22855,0.009713411
Broca's area,Ventromedial prefrontal,448,51975,316,52291,0.00856744
"(""Centromedian"" AND (nuclei OR nucleus))",Middle frontal,5,138,20467,20605,0.00024266
Cingulate,Dentate gyrus,243,10861,11714,22575,0.01076412
Globus pallidus,Insula*,50,8056,3060,11116,0.004498021
Diagonal band of Broca,Hypothalam*,0,908,3,911,0
"(""Gustatory cortex"" OR ""gustatory area"")",Globus pallidus,0,69,8106,8175,0
Dentate gyrus,Stria terminalis,92,11865,2643,14508,0.006341329
"(""Inferior olive"" OR ""Inferior olivary"")",Subthalam*,0,834,0,834,0
Indusium griseum,Nucleus accumbens,5,72,12802,12874,0.00038838
Hypothalam*,Premotor,0,3,4729,4732,0
Inferior frontal,Lateral geniculate,13,5109,5822,10931,0.001189278
Inferior frontal,Prefrontal,1210,3912,22891,26803,0.0451442
(Intralaminar AND (nuclei OR nucleus)),Middle frontal,9,767,20463,21230,0.000423928
Medial frontal,Pulvinar,44,5834,1089,6923,0.006355626
Inferior temporal,Suprachiasmatic,3,6612,6023,12635,0.000237436
Medial frontal,Visual cortex,705,5173,38548,43721,0.016124974
Medial geniculate,Subgranular,0,1862,632,2494,0
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Thalamus,2,4,32538,32542,6.15E-05
Olfactory bulb,Pulvinar,1,11268,1132,12400,8.06E-05
"(Medulla OR ""medulla oblongata"")",Medial geniculate,101,22464,1761,24225,0.004169247
"(Medulla OR ""medulla oblongata"")",Temporoparietal,2,22563,1458,24021,8.33E-05
